title,code
movement assembly final inspector,51-9061
multifocal lens inspector,51-9061
needle grader,51-9061
netting inspector,51-9061
nib inspector,51-9061
night patrol inspector,51-9061
noise tester,51-9061
nuclear test technician,51-9061
odd shoe examiner,51-9061
office machine components inspector-adjuster,51-9061
oil filters inspector,51-9061
oil inspector,51-9061
oil pipe inspector,51-9061
olive brine tester,51-9061
open die inspector,51-9061
operational test mechanic,51-9061
optical glass inspector,51-9061
optical glass wet inspector,51-9061
optical instrument inspector,51-9061
ore grader,51-9061
ore sampler,51-9061
outboard motor inspector,51-9061
outside production inspector,51-9061
oxygen system tester,51-9061
packaging materials inspector,51-9061
paint spray inspector,51-9061
paper cone grader,51-9061
paper counter,51-9061
paper final inspector,51-9061
paper inspector,51-9061
paper pattern inspector,51-9061
paper products inspector,51-9061
paper sorter and counter,51-9061
parachute inspector,51-9061
parts inspector,51-9061
pasting inspector,51-9061
patch driller,51-9061
patch finisher,51-9061
pattern lease inspector,51-9061
pbx inspector (private branch exchange inspector),51-9061
peeled potato inspector,51-9061
pencil inspector,51-9061
photo checker,51-9061
photo checker and assembler,51-9061
photo mask inspector,51-9061
photographic equipment inspector,51-9061
pick up operator,51-9061
pickle sorter,51-9061
picture frames inspector,51-9061
piece work inspector,51-9061
pinion and wheel truer,51-9061
pinion sorter,51-9061
pipe inspector,51-9061
pipe line inspector,51-9061
pipe line walker,51-9061
pipe tester,51-9061
plant inspector,51-9061
plastics and composites inspector,51-9061
plate gauger,51-9061
plate inspector,51-9061
plate mill hand,51-9061
plating inspector,51-9061
pleat taper,51-9061
plug sorter,51-9061
plywood stock grader,51-9061
pneumatic deicer inspector,51-9061
poising inspector,51-9061
polarity tester,51-9061
pole inspector,51-9061
potato chip sorter,51-9061
potline monitor,51-9061
powder core tester,51-9061
power checker,51-9061
power plant inspector,51-9061
power transformer inspector,51-9061
pre-assembly printed circuit board component tester,51-9061
pre-assembly printed circuit board inspector,51-9061
precision assembly inspector,51-9061
precision devices inspector/tester,51-9061
precision inspector,51-9061
press pipe inspector,51-9061
pressure test operator,51-9061
pressure tester operator,51-9061
primer inspector,51-9061
print inspector,51-9061
print line inspector,51-9061
printed circuit board assembly touch-up screener,51-9061
printed circuit board quality control group leader,51-9061
printed circuit boards inspector,51-9061
process checker,51-9061
process controller,51-9061
process inspector,51-9061
processing inspector,51-9061
processor inspector,51-9061
procurement inspector,51-9061
product tester,51-9061
production grader,51-9061
production inspector,51-9061
production sampler,51-9061
production sorter,51-9061
production tester,51-9061
production weigher,51-9061
proof coin collector,51-9061
proof coins inspector,51-9061
proof inspector,51-9061
proof technician helper,51-9061
propellant charge loader,51-9061
propeller inspector,51-9061
propeller tester,51-9061
publications inspector,51-9061
pulp and paper tester,51-9061
pulp tester,51-9061
pump tester,51-9061
puttier,51-9061
putty patcher,51-9061
pyrometer temperature regulator,51-9061
quality assurance clerk,51-9061
quality assurance group leader,51-9061
quality assurance monitor,51-9061
quality assurance tester,51-9061
quality checker,51-9061
quality cloth tester,51-9061
quality lab technician,51-9061
quality lead,51-9061
quality systems technician,51-9061
quality tester,51-9061
quartz orientator,51-9061
quill buncher and sorter,51-9061
rack puncher,51-9061
radar tester,51-9061
radiator core tester,51-9061
rag inspector,51-9061
rag picker,51-9061
railroad wheels and axle inspector,51-9061
railroad wheels and axles inspector,51-9061
raw juice weigher,51-9061
raw sampler,51-9061
raw silk grader,51-9061
re examiner,51-9061
record changer tester,51-9061
record tester,51-9061
redye hand,51-9061
refrigeration service inspector,51-9061
refrigerator tester,51-9061
regrader,51-9061
regulator inspector,51-9061
regulator tester,51-9061
reject opener,51-9061
rejector,51-9061
remnant sorter,51-9061
resistor testing machine operator,51-9061
returned goods sorter,51-9061
returned materials inspector,51-9061
ring sorter,51-9061
rivet sorter,51-9061
road machinery inspector,51-9061
road tester,51-9061
roadability machine operator,51-9061
rocket engine tester,51-9061
rocket motor tester,51-9061
roll examiner,51-9061
roll inspector,51-9061
roll tension tester,51-9061
roller bearing inspector,51-9061
roller inspector,51-9061
roofing tile sorter,51-9061
rotor balancer,51-9061
rough rib grader,51-9061
rough rice grader,51-9061
roving inspector,51-9061
roving or yarn color checker,51-9061
roving sizer,51-9061
roving weight gauger,51-9061
rubber goods inspector,51-9061
rubber goods inspector-tester,51-9061
rubber goods tester,51-9061
rubber stamp dies inspector,51-9061
rubber tester,51-9061
rug inspector,51-9061
safety equipment tester,51-9061
safety fire boss,51-9061
salvage inspector,51-9061
salvage mechanic,51-9061
sample collector,51-9061
sample color maker,51-9061
sample examiner,51-9061
sample tester,51-9061
sample tester-grinder,51-9061
sample washer,51-9061
sampler and test preparer,51-9061
sampler tester,51-9061
sand tester,51-9061
sausage inspector,51-9061
scale balancer,51-9061
scaler-packer,51-9061
school photograph editor,51-9061
scrap separator,51-9061
screen printing inspector,51-9061
seconds handler,51-9061
semiconductor packages leak tester,51-9061
semiconductor packages tester,51-9061
semiconductor testing group leader,51-9061
semiconductor wafer inspector,51-9061
semiconductor wafer processing inspector,51-9061
semiconductor wafers tester,51-9061
senior qc technician,51-9061
senior quality control inspector,51-9061
senior quality technician,51-9061
sensitized paper tester,51-9061
service inspector,51-9061
set up inspector,51-9061
set-up and lay-out inspector,51-9061
sewer inspector,51-9061
sewing machine tester,51-9061
shade matcher,51-9061
shadowgraph operator,51-9061
shadowgraph scale operator,51-9061
shaker plate operator,51-9061
shank inspector,51-9061
shell grader,51-9061
shells inspector,51-9061
shingle grader,51-9061
shingle inspector,51-9061
shoe parts caser,51-9061
shot examiner,51-9061
shuttle final inspector,51-9061
shuttle inspector,51-9061
signal tester,51-9061
silk screen printing racker,51-9061
skin grader,51-9061
slide fasteners inspector,51-9061
snuff container inspector,51-9061
soap inspector,51-9061
soldering inspector,51-9061
sorter operator,51-9061
sorter/assay tech,51-9061
sound tester,51-9061
spark tester,51-9061
special tester,51-9061
speedometer inspector,51-9061
spindle tester,51-9061
spoilage worker,51-9061
spool sorter,51-9061
spot checker,51-9061
spring inspector,51-9061
static balancer,51-9061
stave grader,51-9061
steel inspector,51-9061
steel sampler,51-9061
steelscope operator,51-9061
stencil inspector,51-9061
stock parts inspector,51-9061
stocking inspector,51-9061
stone grader,51-9061
storage battery inspector,51-9061
storage battery inspector and tester,51-9061
storage battery tester,51-9061
stummel selector,51-9061
substation inspector,51-9061
sumatra opener,51-9061
surgical garment inspector,51-9061
surgical instruments inspector,51-9061
swatch checker,51-9061
switchboard inspector,51-9061
tablet tester,51-9061
tank tester,51-9061
targeteer,51-9061
taster,51-9061
tea taster,51-9061
tech brazer tester,51-9061
telegraph inspector,51-9061
television inspector,51-9061
television parts tester,51-9061
temperature control inspector,51-9061
temperature inspector,51-9061
temperature regulator,51-9061
template checker,51-9061
test car driver,51-9061
test carrier,51-9061
test desk trouble locator,51-9061
test driver,51-9061
test preparer,51-9061
tester operator,51-9061
tester/lift trucker,51-9061
testing and regulating technician,51-9061
testing machine operator,51-9061
"testing, shaking, shipping",51-9061
texturing process quality control checker,51-9061
thermocouple tester,51-9061
thermometer tester,51-9061
thread checker,51-9061
thread inspector,51-9061
tie inspector,51-9061
tight barrel inspector,51-9061
tile grader,51-9061
tile picker,51-9061
tile shader,51-9061
tile sorter,51-9061
timber inspector,51-9061
timers inspector,51-9061
timing inspector,51-9061
tin assorter,51-9061
tin flipper,51-9061
tin flopper,51-9061
tip length checker,51-9061
tire classifier,51-9061
tire inspector,51-9061
tire mold tester,51-9061
tire sorter,51-9061
tire tester,51-9061
tobacco sample puller,51-9061
tobacco sampler,51-9061
toll line inspector,51-9061
tool inspector,51-9061
tooth inspector,51-9061
torque tester,51-9061
towel inspector,51-9061
toys inspector,51-9061
transformer tester,51-9061
transistor tester,51-9061
transmission inspector,51-9061
treating inspector,51-9061
triple air-valve tester,51-9061
trouble locater,51-9061
truck trailer final inspector,51-9061
try out person,51-9061
tube inspector,51-9061
tube sorter,51-9061
tube tester,51-9061
turbine attendant,51-9061
twist tester,51-9061
type inspector,51-9061
type-copy examiner,51-9061
typewriter assembly and parts inspector,51-9061
typewriter tester,51-9061
upholstery covers inspector,51-9061
upholstery parts sorter,51-9061
upper leather sorter,51-9061
utilities service investigator,51-9061
valve tester,51-9061
varnish inspector,51-9061
vegetable tester,51-9061
veneer matcher,51-9061
veneer measurer,51-9061
veneer stock grader,51-9061
vibrator equipment tester,51-9061
viscosity tester,51-9061
voltage tester,51-9061
wafer substrate tester,51-9061
wallpaper inspector,51-9061
wallpaper inspector and shipper,51-9061
ware tester,51-9061
warp tester,51-9061
warp yarn sorter,51-9061
waste disposal leakage tester,51-9061
waste examiner,51-9061
waste salvager,51-9061
watch assembly inspector,51-9061
watch parts inspector,51-9061
watch train inspector,51-9061
water leak repairer,51-9061
water quality tester,51-9061
weaving inspector,51-9061
webbing inspector,51-9061
weigh machine operator,51-9061
weigh tank operator,51-9061
weigher and crusher,51-9061
weigher and grader,51-9061
weigher operator,51-9061
weight tester,51-9061
weight yardage checker,51-9061
weld inspector,51-9061
wet wash assembler,51-9061
wheel and pinion inspector,51-9061
winding inspector,51-9061
winding inspector and tester,51-9061
wire inspector,51-9061
wire products inspector,51-9061
wire tester,51-9061
wood inspector,51-9061
wood panel inspector,51-9061
wood scaler,51-9061
wood treating inspector,51-9061
woodwind instruments inspector,51-9061
woodwork salvage inspector,51-9061
wool and pelt grader,51-9061
wrap yarn sorter,51-9061
wrapper counter,51-9061
wrapper selector,51-9061
wrapping checker,51-9061
wreath inspector,51-9061
x ray equipment tester,51-9061
x-ray inspector,51-9061
yard inspector,51-9061
yarn cleaner,51-9061
yarn dumper,51-9061
yarn examiner,51-9061
yarn skeins examiner,51-9061
yield loss inspector,51-9061
yield-loss inspector,51-9061
zyglo inspector,51-9061
zyglo technician,51-9061
antique jewelry repairer,51-9071
appraisal technician,51-9071
bead maker,51-9071
bench molder apprentice,51-9071
bracelet and brooch maker,51-9071
brilliandeer looper,51-9071
certified bench jeweler technician,51-9071
damascener,51-9071
engine turner,51-9071
fancy wire drawer,51-9071
gem technician,51-9071
girdler,51-9071
gold beater,51-9071
goldbeater,51-9071
hammer setter,51-9071
hand chain maker,51-9071
jeweler apprentice,51-9071
jewelry appraiser,51-9071
jewelry bearing maker,51-9071
jewelry bench molder,51-9071
jewelry bench worker,51-9071
jewelry drill operator,51-9071
jewelry drilling machine operator,51-9071
jewelry maker,51-9071
jewelry mechanic,51-9071
jewelry model maker,51-9071
jewelry mold maker,51-9071
jewelry technician,51-9071
layout operator,51-9071
locket maker,51-9071
mold maker apprentice,51-9071
oliving machine operator,51-9071
pearl restorer,51-9071
phonograph needle tip maker,51-9071
pronger,51-9071
ring maker,51-9071
silver chaser,51-9071
stone setter apprentice,51-9071
stonecutter,51-9071
brilliandeer lopper,51-9071
diamond assorter,51-9071
diamond cleaner,51-9071
diamond cleaver,51-9071
diamond die driller,51-9071
diamond die polisher,51-9071
diamond selector,51-9071
diamond setter apprentice,51-9071
diamond sizer and grader,51-9071
diamond sorter,51-9071
gem carver,51-9071
gem expert,51-9071
gem stone cutter,51-9071
jewel bearing maker,51-9071
jewel blocker and sawyer,51-9071
jewel sawyer,51-9071
jewel setter,51-9071
jewelry cutter,51-9071
lapidary,51-9071
lapidary apprentice,51-9071
pearl cutter,51-9071
pearl peller,51-9071
brass chaser,51-9071
bronze chaser,51-9071
goldsmith apprentice,51-9071
jewelry finisher,51-9071
pewter caster,51-9071
pewter fabricator,51-9071
pewter finisher,51-9071
platinumsmith,51-9071
silversmith apprentice,51-9071
special order jeweler,51-9071
ceramist,51-9081
dental appliance fixer,51-9081
dental appliance mechanic,51-9081
dental appliance repairer,51-9081
dental ceramist assistant,51-9081
dental instrument maker,51-9081
dental laboratory technician (dental lab tech),51-9081
dental laboratory technician apprentice,51-9081
dental mechanic,51-9081
dental technologist,51-9081
denture contour wire specialist,51-9081
denture finisher,51-9081
denture laboratory technician (denture lab tech),51-9081
denture waxer,51-9081
metal room dental technician,51-9081
model technician,51-9081
orthodontic band maker,51-9081
orthodontic technician assistant,51-9081
porcelain finisher,51-9081
arch support maker,51-9082
arch support technician,51-9082
artificial limb maker,51-9082
medical appliance maker,51-9082
medical assembler,51-9082
medical device assembler,51-9082
medical or surgical instrument maker,51-9082
orthopedic brace maker,51-9082
orthotic fitter,51-9082
prosthetic lab technician,51-9082
restoration officer,51-9082
surgical brace maker,51-9082
surgical instrument maker,51-9082
benchroom shop optician,51-9083
contact lens blocker,51-9083
contact lens blocker and cutter,51-9083
contact lens lathe operator,51-9083
contact lens manufacturer,51-9083
diamond grinder,51-9083
dotter,51-9083
eyeglass cutter,51-9083
glass frame fitter,51-9083
glass silverer,51-9083
hand glass cutter,51-9083
hand lens polisher,51-9083
hospital laboratory technician (hospital lab technician),51-9083
laboratory monitor (lab monitor),51-9083
laboratory operations coordinator (lab operations coordinator),51-9083
lens cementer,51-9083
lens dotter,51-9083
lens edger,51-9083
lens finisher,51-9083
lens generator,51-9083
lens maker,51-9083
lens mold setter,51-9083
lens polisher,51-9083
lens shaper grinder,51-9083
lens silverer,51-9083
optical coating technician,51-9083
optical element coater,51-9083
optical goods drill operator,51-9083
optical goods drilling machine operator,51-9083
optical instrument assembler,51-9083
optical laboratory mechanic,51-9083
optical mechanic,51-9083
optical worker,51-9083
precision lens generator,51-9083
precision lens grinder,51-9083
precision lens polisher,51-9083
precision optical goods worker,51-9083
prism measurer,51-9083
spectacle truer,51-9083
surface room shop optician,51-9083
surface technician,51-9083
ampoule filler,51-9111
apple press operator,51-9111
assembly leader,51-9111
auto roller,51-9111
automatic cigar wrapper tender,51-9111
automatic packer operator,51-9111
bag bundler,51-9111
bag loader machine operator,51-9111
bagging machine operator,51-9111
baling machine tender,51-9111
bandage wrapping machine operator,51-9111
base-filler operator,51-9111
bb shot packer,51-9111
belt worker,51-9111
blister pack operator,51-9111
blister packaging machine operator,51-9111
bottle capping machine operator,51-9111
bottle caser,51-9111
bottle filler,51-9111
bottle labeler,51-9111
bottling line operator,51-9111
bottling machine operator,51-9111
bottling room worker,51-9111
box closing machine operator,51-9111
box strapper,51-9111
boxer operator,51-9111
boxing machine operator,51-9111
bread wrapper,51-9111
bread wrapper operator,51-9111
bullet charging machine operator,51-9111
bunch maker,51-9111
bundling machine operator,51-9111
can capper,51-9111
can closing machine operator,51-9111
can closing machine tender,51-9111
can coverer,51-9111
can labeler,51-9111
can line operator,51-9111
candle wrapping machine operator,51-9111
candy wrapping machine operator,51-9111
canner,51-9111
canning machine operator,51-9111
capper machine operator,51-9111
capsule filler,51-9111
capsule filling machine operator,51-9111
capsule machine operator,51-9111
capsule maker,51-9111
carder,51-9111
carton filling machine operator,51-9111
carton machine operator,51-9111
carton packaging machine operator,51-9111
cartridge filler,51-9111
case loader operator,51-9111
case packer and sealer,51-9111
casing finisher and stuffer,51-9111
casing runner,51-9111
casing running machine tender,51-9111
cigar bander,51-9111
cigar brander,51-9111
cigarette packer,51-9111
cigarette packing machine operator,51-9111
comfort filler,51-9111
corker,51-9111
corking machine operator,51-9111
cotton roll packer,51-9111
cubing machine tender,51-9111
cylinder filler,51-9111
drum filler,51-9111
dumping machine operator,51-9111
feed weigher,51-9111
filler machine operator,51-9111
filling machine operator,51-9111
filling machine tender,51-9111
filling room operator,51-9111
foam dispenser,51-9111
food bagging machine operator,51-9111
fruit canner,51-9111
fruit grader operator,51-9111
gelatin dynamite packing operator,51-9111
glass vial filler,51-9111
ham rolling machine operator,51-9111
hot kettle tender,51-9111
icicle machine operator,51-9111
insulation packer,51-9111
jar capper,51-9111
jar filler,51-9111
keg header,51-9111
labeler,51-9111
labeling machine operator,51-9111
level glass vial filler,51-9111
link machine operator,51-9111
linking machine operator,51-9111
loading unit operator,51-9111
lumber tying machine operator,51-9111
machine crater,51-9111
machine package sealer,51-9111
machine packager,51-9111
machine packer,51-9111
machine preservative filler,51-9111
machine quilt stuffer,51-9111
manifold operator,51-9111
meal packer,51-9111
meat molder,51-9111
meat stuffer,51-9111
milk bottling machine operator,51-9111
nester,51-9111
oxygen tank filler,51-9111
packaging associate,51-9111
packaging machine operator,51-9111
packer inspector,51-9111
packing machine pilot can router,51-9111
plug overwrap machine tender,51-9111
potato chip sacking machine operator,51-9111
pouch maker,51-9111
preservative filler machine operator,51-9111
production packager,51-9111
punchboard filling machine operator,51-9111
rack room worker,51-9111
rim fire priming operator,51-9111
rock room worker,51-9111
roll finisher,51-9111
sausage canner,51-9111
sausage stuffer,51-9111
seal extrusion operator,51-9111
sectionizer,51-9111
sheeter helper,51-9111
snuff packing machine operator,51-9111
soft work wrapper examiner,51-9111
strapping machine operator,51-9111
stuffing machine operator,51-9111
tank filler,51-9111
tape fastener machine operator,51-9111
tobacco packing machine operator,51-9111
tobacco wrapping machine tender,51-9111
toy stuffer,51-9111
tracer bullet charging machine operator,51-9111
tying machine operator,51-9111
vacuum closing machine operator,51-9111
vegetable canner,51-9111
wrapper layer,51-9111
yeast cutting and wrapping machine operator,51-9111
abrasive coating machine operator,51-9121
abrasive coating machine set-up operator,51-9121
air drier,51-9121
air drier machine operator,51-9121
asphalt coater,51-9121
automatic paint sprayer operator,51-9121
bead forming machine set-up operator,51-9121
blackener,51-9121
blacker,51-9121
bonderite operator,51-9121
bonderizer,51-9121
bonderizer operator,51-9121
brake linings coater,51-9121
browner,51-9121
buckle strap drum operator,51-9121
carbon coater machine operator,51-9121
carbon coating machine operator,51-9121
cast iron dipper,51-9121
cathode maker,51-9121
cheese sprayer,51-9121
chocolate dipper,51-9121
cracker sprayer,51-9121
dagger,51-9121
dip filler,51-9121
dip painter,51-9121
dipper operator,51-9121
disintegrator,51-9121
dixonac operator,51-9121
drum sprayer,51-9121
embossing unit operator,51-9121
emulsion coater,51-9121
enamel dipper,51-9121
enamel machine operator,51-9121
enrobing machine operator,51-9121
first calender worker,51-9121
four roll calender operator,51-9121
foxing painter,51-9121
furniture dipper,51-9121
furniture painter,51-9121
furniture sprayer,51-9121
getter filler,51-9121
getter operator,51-9121
gettering operator,51-9121
hardboard coating machine operator,51-9121
hot dipper,51-9121
icer machine operator,51-9121
impregnating tank operator,51-9121
insulation board calender operator,51-9121
laminating press operator,51-9121
machine heel sprayer,51-9121
machine icer,51-9121
machine sprayer,51-9121
mastic sprayer,51-9121
mechanical striper,51-9121
ornamental machine operator,51-9121
paint dipper,51-9121
paint spray tender,51-9121
painting machine operator,51-9121
paper coater,51-9121
paper coating machine operator,51-9121
paraffin machine operator,51-9121
paraffiner,51-9121
pill coater,51-9121
prefinish operator,51-9121
primer waterproofing machine adjuster,51-9121
printed circuit boards coating equipment operator,51-9121
production finisher,51-9121
production painter,51-9121
recoating machine operator,51-9121
redipper,51-9121
reed dipper,51-9121
ribbon inker,51-9121
roofing machine operator,51-9121
sanding machine operator,51-9121
saturator tender,51-9121
seed pelleter,51-9121
sensitizer,51-9121
shot coat tender,51-9121
smoking pipe coater,51-9121
spray foam applicator,51-9121
spray painting machine operator,51-9121
stain applicator,51-9121
supercalender operator,51-9121
tablet coater,51-9121
tape coater,51-9121
tip bander,51-9121
tumbling barrel painter,51-9121
varnisher,51-9121
varnishing machine operator,51-9121
wad impregnator,51-9121
waxing machine operator,51-9121
wire coater,51-9121
wire coating machine operator,51-9121
aircraft painter apprentice,51-9122
auto striper,51-9122
black off worker,51-9122
car painter,51-9122
colorman,51-9122
duco polisher,51-9122
mobile paint specialist,51-9122
paint prep technician,51-9122
paint specialist,51-9122
rust proofer,51-9122
sandblaster paint sprayer,51-9122
touch up painter,51-9122
transportation equipment painter,51-9122
transportation equipment painter apprentice,51-9122
air brush decorator,51-9123
air brush operator,51-9123
airbrush painter,51-9123
"apprentice, painter, brush",51-9123
"apprentice, painter, hand",51-9123
art gilder,51-9123
bake off decorator,51-9123
bakery decorator,51-9123
balloon dipper,51-9123
banner painter,51-9123
barrel coater,51-9123
barrel liner,51-9123
battery container finishing hand,51-9123
bisque ware dipper,51-9123
blender/braze applicator,51-9123
boiler-out,51-9123
bowling pin refinisher,51-9123
brush hand,51-9123
bun icer,51-9123
button spindler,51-9123
cleaner and preparer,51-9123
clear coat sprayer,51-9123
clip coater,51-9123
clock and watch hands painter,51-9123
coating technician,51-9123
color coater,51-9123
cork painter and grader,51-9123
decal applier,51-9123
decal decorator,51-9123
decal maker,51-9123
design painter,51-9123
dial marker,51-9123
dial painter,51-9123
dial refinisher,51-9123
dipper and drier,51-9123
drawer waxer,51-9123
duller,51-9123
electrostatic painter,51-9123
embossed or impressed lettering painter,51-9123
enamel applier,51-9123
enamel finisher,51-9123
enrobing machine corder,51-9123
filler in,51-9123
film coater,51-9123
foam gun operator,51-9123
furniture stainer,51-9123
glass bulb silverer,51-9123
glaze sprayer,51-9123
gold letterer,51-9123
ground layer,51-9123
hand candle dipper,51-9123
hand candy dipper,51-9123
hand decorator,51-9123
hand funnel coater,51-9123
hand icer,51-9123
hand painter,51-9123
hand striper,51-9123
hand touch up painter,51-9123
hat sprayer,51-9123
high lighter,51-9123
jewelry enameler,51-9123
keg varnisher,51-9123
lens coater,51-9123
lighting fixtures decorator,51-9123
luster applicator,51-9123
mannequin coloring artist,51-9123
mannequin refinisher,51-9123
manugrapher,51-9123
map colorer,51-9123
mirror maker,51-9123
mirror painter,51-9123
mirror silverer,51-9123
neckties painter,51-9123
neon sign maker,51-9123
optical glass silverer,51-9123
oxidizer,51-9123
painting technician,51-9123
painting worker,51-9123
panel edge painter,51-9123
panman,51-9123
paster,51-9123
pattern painter,51-9123
plate painter,51-9123
plate painter apprentice,51-9123
porcelain enameler,51-9123
porcelain finish sprayer,51-9123
print decorator,51-9123
production metal sprayer,51-9123
resin coater,51-9123
rug backing stenciler,51-9123
rug touch-up painter,51-9123
shading painter,51-9123
shellacker,51-9123
sign artist,51-9123
sign letterer,51-9123
"sign writer, letterer, or painter",51-9123
silicator,51-9123
silverer,51-9123
sketcher,51-9123
ski edge painter,51-9123
spray gun operator,51-9123
spray gun striper,51-9123
spray gunner,51-9123
spray operator,51-9123
stager,51-9123
sticker on,51-9123
stove refinisher,51-9123
striper,51-9123
tacker off,51-9123
thermal spray operator,51-9123
tile decorator,51-9123
touch-up painter,51-9123
toucher up,51-9123
toy painter,51-9123
trademark affixer,51-9123
under seal operator,51-9123
undercoater,51-9123
vac press operator,51-9123
wallcovering texturer,51-9123
white shoe ragger,51-9123
wood stainer,51-9123
charge preparation technician,51-9141
chemical etch operator,51-9141
circuit recorder,51-9141
crystal finisher,51-9141
crystal grower,51-9141
crystal growing technician,51-9141
crystal machining coordinator,51-9141
crystal mounter,51-9141
crystal slicer,51-9141
die attacher,51-9141
diffusion furnace operator,51-9141
electronic component processor,51-9141
electronic device monitor,51-9141
epitaxial reactor operator,51-9141
epitaxial reactor technician,51-9141
group level processor,51-9141
integrated circuit fabricator,51-9141
ion implant machine operator,51-9141
lapping machine tender,51-9141
microelectronics technician,51-9141
printed circuit photographer,51-9141
reactor technician,51-9141
resistor coater,51-9141
sanding/polishing technician,51-9141
seed core operator,51-9141
semi conductor assembler,51-9141
semiconductor dies loader,51-9141
semiconductor lab technician,51-9141
semiconductor packages sealer,51-9141
semiconductor processing equipment test technician,51-9141
semiconductor processing group leader,51-9141
semiconductor processor,51-9141
semiconductor technician,51-9141
semiconductor wafers diffusion furnace operator,51-9141
semiconductor wafers etch operator,51-9141
semiconductor wafers etcher-stripper,51-9141
semiconductor wafers marker,51-9141
semiconductor wafers saw operator,51-9141
semiconductors metallization equipment tender,51-9141
semiconductors wafer breaker,51-9141
small group level processor,51-9141
small group processor,51-9141
wafer fabrication technician,51-9141
wafer mounter,51-9141
wafer polishing worker,51-9141
wafer production worker,51-9141
air brush artist,51-9151
airbrush artist,51-9151
art tracer,51-9151
automatic developer,51-9151
automatic mounter,51-9151
automatic print developer,51-9151
black and white printer operator,51-9151
color laboratory technician,51-9151
color printer operator,51-9151
computer-controlled color photograph printer operator,51-9151
copy camera operator,51-9151
darkroom technician,51-9151
developing machine operator,51-9151
digital imager,51-9151
digital photo printer,51-9151
digital technician,51-9151
enlarger,51-9151
film cleaner,51-9151
film cutter,51-9151
film developer,51-9151
film drying machine operator,51-9151
film examiner,51-9151
film laboratory technician,51-9151
film mounter,51-9151
film numberer,51-9151
film processing utility worker,51-9151
film reproducer,51-9151
film splicer,51-9151
film washer,51-9151
film waxer,51-9151
full stack developer,51-9151
generator technician,51-9151
hypo splasher,51-9151
laboratory associate,51-9151
lithography contact worker,51-9151
magnifier,51-9151
microfilm processor,51-9151
microfilm technician,51-9151
mini-lab operator,51-9151
motion picture film examiner,51-9151
motion picture printer,51-9151
negative cleaner,51-9151
negative cutter,51-9151
negative restorer,51-9151
negative retoucher,51-9151
negative spotter,51-9151
photo colorer,51-9151
photo finisher,51-9151
photo mask pattern generator,51-9151
photo mask processor,51-9151
photograph developer,51-9151
photograph enlarger,51-9151
photograph inspector,51-9151
photograph mounter,51-9151
photograph printer,51-9151
photograph retoucher,51-9151
photograph tinter,51-9151
photographic aide,51-9151
photographic colorist,51-9151
photographic hand developer,51-9151
photographic press screwmaker,51-9151
photographic printer,51-9151
photographic process worker,51-9151
photographic processing machine operator,51-9151
photographic reproduction technician,51-9151
photographic restorer,51-9151
photographic spotter,51-9151
photographic technician,51-9151
photography colorist,51-9151
photography spotter,51-9151
picture enlarger,51-9151
print developer,51-9151
print finisher,51-9151
print machine operator,51-9151
printed circuit board panels developer,51-9151
printed circuit boards contact printer,51-9151
projection printer,51-9151
proof passer,51-9151
quality control head,51-9151
rectification printer,51-9151
reproducer,51-9151
reproduction machine loader,51-9151
reproduction specialist,51-9151
reproduction technician,51-9151
screen examiner,51-9151
semiconductor wafers photographic aligner,51-9151
semiconductor wafers photographic processor,51-9151
slide maker,51-9151
step and repeat reduction camera operator,51-9151
take-down sorter,51-9151
template reproduction technician,51-9151
x-ray developer,51-9151
automatic gluing machine operator,51-9191
automobile brake bonder,51-9191
band builder,51-9191
band edger,51-9191
bead preparer,51-9191
blanket winder operator,51-9191
board liner operator,51-9191
bonding molder,51-9191
book jacket cover machine operator,51-9191
bottomer operator,51-9191
box lining machine feeder,51-9191
box lining machine operator,51-9191
box sealing machine operator,51-9191
brush head maker,51-9191
bulk folder,51-9191
bulk pallet builder,51-9191
bulk sealer,51-9191
card decorator,51-9191
case making machine operator,51-9191
casing operator,51-9191
cementing bulk material operator,51-9191
cementing machine operator,51-9191
chip applying machine tender,51-9191
collet gluer,51-9191
core composer machine tender,51-9191
core laying machine operator,51-9191
core machine tender,51-9191
cover stripper,51-9191
crown assembly machine operator,51-9191
doweling machine operator,51-9191
dual hose cementer,51-9191
edge bonder,51-9191
edge glue machine tender,51-9191
edge gluer,51-9191
electronic heat seal operator,51-9191
ending machine operator,51-9191
envelope sealer,51-9191
extension edger,51-9191
glass wool blanket machine feeder,51-9191
glue jointer operator,51-9191
glue mounter operator,51-9191
glue sprayer,51-9191
glue spreading machine operator,51-9191
glue wheel operator,51-9191
gluing crew leader,51-9191
gummer,51-9191
gumming machine operator,51-9191
handle machine operator,51-9191
hat lining paster,51-9191
hat stock laminating machine operator,51-9191
heat seal operator,51-9191
heat sealing machine operator,51-9191
hot plate plywood press operator,51-9191
label paster,51-9191
lamp shade joiner,51-9191
liner machine operator,51-9191
looseleaf binder coverer,51-9191
machine cementer,51-9191
machine cementer and folder,51-9191
machine edge bander,51-9191
panel flow machine operator,51-9191
paper sealer,51-9191
patch machine operator,51-9191
ply bander,51-9191
plywood layup line core feeder,51-9191
pocket builder,51-9191
ski topper,51-9191
spool maker,51-9191
stock roller,51-9191
stripping machine operator,51-9191
tape maker,51-9191
tape making machine operator,51-9191
taper operator,51-9191
v-belt builder,51-9191
veneer glue spreader,51-9191
wood gluer,51-9191
agitator,51-9192
